Matricula,CRG,Polo
202016040002,8.58,Cameta
202016040028,4.57,Cameta
202016040030,7.92,Cameta
202116040005,8.78,Cameta
202116040006,7.99,Cameta
202116040010,7.54,Cameta
202116040022,3.05,Cameta
202116040023,8.62,Cameta
202316040005,4.82,Cameta
202316040015,4.41,Cameta
202316040031,4.73,Cameta
202416040004,2.97,Cameta
202416040005,2.44,Cameta
202416040009,4.07,Cameta
202416040010,3.72,Cameta
202416040013,2.79,Cameta
202416040014,2.38,Cameta
202416040015,2.38,Cameta
202416040020,2.62,Cameta
202416040022,3.37,Cameta
202416040025,2.67,Cameta
202416040026,2.79,Cameta
202416040028,2.44,Cameta
202416040030,2.73,Cameta
202285640010,7.12,Limoeiro
202285640022,7.31,Limoeiro
202285640023,7.16,Limoeiro
202285940010,7.53,Oeiras
202285940016,7.89,Oeiras
202285940019,8.44,Oeiras
202285940020,7.89,Oeiras
202285940022,7.44,Oeiras
